p,p,b,pp,
b,b,bb,
t,t,tt,d,th,dt
d,d,,
k,k,ch,ck,c,g,
g,g,gh,
?,$,,
f,f,v,ff,w,ph,
v,w,v,
s,s,ß,ss,z,ce,
S,sch,ch,s,ss,sh
Z,j,g,
z,s,z,sh
C,ch,,
j,j,i,
l,l,ll,
x,ch,h,
h,h,,
ts,z,ts,tz,ds,t,
ks,x,gs,ks,cks,chs
m,m,mm,
n,n,nn,
N,ng,n,
R,r,rr,
r,r,,
I,i,,
i,i,
E,e,ä,ae,a,
e,ä,
a,a,,
O,o,,
o,o,
U,u,,
Y,ü,ue,y,
9,ö,oe,öh,oeh,
i:,i,ie,ih,ieh,y,yi
e:,e,ee,eh,er,
E:,ä,äh,ae,aeh
a:,a,aa,ah,
o:,o,oh,oo
u:,u,uh,ou,oo,ew
y:,ü,y,üh,ue,ueh
2:,ö,öh,euoe,oeh
aI,ei,i,ai
OY,eu,oi,äu,aeu
IC,ig,ich
@,e,,
6,er,r,e,rr
“,$,,
=,$,,
